StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,m1_1,m1_2,m1_3,m1_4,m1_5,m1_6,m1_7,m1_8,m1_9,m1_10,m2_1,m2_2,m2_3,m2_4,m2_5,m2_6,m2_7,m2_8,m2_9,m2_10,m3_1,m3_2,m3_3,m3_4,m3_5,m3_6,m3_7,m3_8,m3_9,m3_10,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m4_7,m4_8,m4_9,m4_10,m5_1,m5_2,m5_3,m5_4,m5_5,m5_6,m5_7,m5_8,m5_9,m5_10,m6_1,m6_2,m6_3,m6_4,m6_5,m6_6,m6_7,m6_8,m6_9,m6_10,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_7,m7_8,m7_9,m7_10,m8_1,m8_2,m8_3,m8_4,m8_5,m8_6,m8_7,m8_8,m8_9,m8_10,m9_1,m9_2,m9_3,m9_4,m9_5,m9_6,m9_7,m9_8,m9_9,m9_10,m10_1,m10_2,m10_3,m10_4,m10_5,m10_6,m10_7,m10_8,m10_9,m10_10,age,gender,gender_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID
01.02.26 20:28,01.02.26 20:28,1,,100,28,1,01.02.26 20:28,R_5XPh7wstusPOwsF,,,,,40.7157,-74,preview,EN,1,2,3,4,5,6,7,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.02.26 22:49,01.02.26 22:50,0,86.29.247.228,100,28,1,01.02.26 22:50,R_8L5szyQHuCc5B0B,,,,,52.7681,-1.2026,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,6,7,6,6,6,6,6,3,5,,6724ffedb2e2d24cb30de26f,697fac9cc2ba89523b816272,697fca7a2cfcf7071c696378
01.02.26 22:50,01.02.26 22:51,0,216.170.170.102,100,60,1,01.02.26 22:51,R_3N9Ckdl8gNxV01H,,,,,37.1753,-113.29,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,9,6,2,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,66354e3cb427570ffd8930a0,697fac9cc2ba89523b816272,697fca82f96c494d2f3fa6c0
01.02.26 22:53,01.02.26 22:54,0,97.120.146.165,100,35,1,01.02.26 22:54,R_1P602HrejtWYSY4,,,,,45.4804,-122.5891,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,5,8,4,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,5,2,,65ccfdf16bdcab83d5bd1163,697fac9cc2ba89523b816272,697fcb6961fe3e46e5ef0bcc
01.02.26 23:00,01.02.26 23:01,0,86.152.19.10,100,79,1,01.02.26 23:01,R_8Gle7pdB3bGeGHX,,,,,51.5164,-0.093,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,7,8,3,2,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,6640e53eec06606709f75853,697fac9cc2ba89523b816272,697fccd3be43c86a828cc5f2
01.02.26 22:58,01.02.26 23:04,0,31.185.38.0,100,366,1,01.02.26 23:04,R_8y6oJ1qhSuAdayl,,,,,52.6259,1.3032,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,9,11,4,7,6,6,7,,,,,,,,,,,5,1,,66bbafb05de7e549455aa4ff,697fac9cc2ba89523b816272,697fca6b0796826392021dcb
01.02.26 23:03,01.02.26 23:04,0,71.85.246.192,100,45,1,01.02.26 23:04,R_7EsL9GJd8Uo4dah,,,,,38.2323,-90.5629,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,7,8,8,5,3,6,7,7,4,1,,628f83dc5398c04bac86f9e6,697fac9cc2ba89523b816272,697fcdbd1aeb561a8678c707
01.02.26 23:08,01.02.26 23:08,0,75.164.92.136,100,36,1,01.02.26 23:08,R_6j7B8gyZPCh9eEs,,,,,45.4805,-122.6363,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,4,1,11,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,69419c81ee92288e4d87076d,697fac9cc2ba89523b816272,697fcec2a218abe781e48c5d
01.02.26 23:08,01.02.26 23:09,0,24.34.35.177,100,54,1,01.02.26 23:09,R_3dGm0EOGndOPtGl,,,,,43.6171,-72.9636,anonymous,EN,,,,,,,,,,,2,2,6,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,62e92ac314e2c0f89236aed1,697fac9cc2ba89523b816272,697fcebd60a8e3dac03f0516
01.02.26 23:10,01.02.26 23:11,0,213.31.46.233,100,67,1,01.02.26 23:11,R_21vqc5Jv0hRatD6,,,,,53.5495,-2.7659,anonymous,EN,,,,,,,,,,,,,,,,,,,,,2,1,3,1,9,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,571bc5a56b0894000962ee1a,697fac9cc2ba89523b816272,697fcf49804b5efdc861613c
